"Molecule ChEMBL ID	SMILES#RO5 Violations	label	pIC50	Molwt	LogP	HBA	HBD"
"CHEMBL370039	O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O	0	0	4.0670191780768015	268.268	3.2694000000000014	4	2"
"CHEMBL3774737	COC[C@H](C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C	0	1	8.920818753952375	431.47900000000016	4.386700000000004	4	2"
"CHEMBL3775116	CC(C)CN1[C@@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C	0	1	6.017728766960431	379.50000000000017	4.872100000000004	3	2"
"CHEMBL1597831	O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC(N(Cc2ccccc2)c2ccccc2)CC1	2	1	6.920818753952375	540.7330000000002	6.317290000000007	5	1"
"CHEMBL1455849	O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2cccc([N+](=O)[O-])c2)CC1	0	1	6.075720713938117	481.5780000000004	3.876490000000003	7	1"
"CHEMBL3936897	Cl.Cl.N#CC(=C(c1ccc(OCCN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1	1	1	6.257274868695301	612.5980000000005	5.434880000000005	7	0"
"CHEMBL93326	O=C(N1CCc2cc(O)ccc2[C@H]1c1ccc(O)cc1)C(F)(F)F	0	1	7.270835210307231	337.29699999999997	3.1342000000000008	3	2"
"CHEMBL328475	O=S(=O)(c1ccc2ccccc2c1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1	2	1	6.950781977329817	528.6740000000004	5.356400000000006	5	1"
"CHEMBL316003	CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1	1	1	7.187086643357143	483.6080000000004	7.118900000000008	5	2"
"CHEMBL4161695	CC1=C(c2cccc(O)c2)C(c2ccc(OCCN3CCC3)cc2)Oc2ccc(O)cc21	1	1	9.522878745280336	429.5160000000002	5.246700000000006	5	2"
"CHEMBL4164133	CC1=C(c2cccc(O)c2)[C@H](c2ccc(OC[C@H](C)N3CC[C@@H](C)C3)cc2)Oc2ccc(O)cc21	1	1	10.0	471.59700000000026	6.271300000000007	5	2"
"CHEMBL4165384	CCCCOc1ccc(C(CCC)(CCC)c2ccc(O)c(C)c2)cc1C	1	1	7.0604807473813835	368.56100000000004	7.074240000000008	2	1"
"CHEMBL4169627	CC1=C(c2cccc(O)c2)C(c2ccc(OCCN3CCCC3)cc2)Oc2ccc(O)cc21	1	1	9.397940008672037	443.54300000000023	5.636800000000006	5	2"
